Districtwise Crime against Children - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. No,State/UT/District,Murder (Sec.302 IPC),,,Abetment of Suicide of Child (Sec.305 IPC),Attempt to Commit Murder (Sec.307 IPC),Infanticide (Sec.315 IPC),Foeticide (Sec. 315 & 316 IPC),Exposure and Abandonment (Sec.317 IPC),"Simple Hurt (Sec.323 r/w IPC,324,332,353,327,328,330 IPC)","Grievous Hurt (Sec.325, 32,326A, 326B,329,331, 333, 335 IPC)",Kidnapping and Abduction of Children,,,,,,,,,,,Human Trafficking (Secs. 370 & 370A IPC) (Children only),Selling of Minors for Prostitution (Sec. 372 IPC),,,Buying of Minors for Prostitution  (Sec. 373 IPC),,,Rape (Sec. 376 IPC),Attempt to Commit Rape (Sec. 376 r/w 511 IPC),Assault on Women with Intent to Outrage her Modesty (Sec. 354 IPC),Insult to the Modesty of Women (Sec. 509 IPC),Other IPC Crimes,Total IPC Crimes Against Children,"Protection of Children from Sexual Offences Act (POCSO) r/w Sec.376,354, 509 IPC)",,,,,,,,,,,,,,,,,,,Juveniles Justice (Care and Protection of Children) Act,,,"Immoral Traffic (Prevention) Act, 1956",,,,Child Labour (Prohibition & Regulation) Act,Prohibition of Child Marriage Act,Transplantation of Human Organs Act,Cyber Crimes/Information Technology Act,,,Other SLL crimes,Total SLL Crimes against Children,Total Crimes against Children (IPC+ SLL)
,,,,,,,,,,,,"Kidnapping and Abduction of Children (Sec. 363, 363A, 364, 364A, 365, 366, 366A, 367, 368 & 369 IPC) (Total) (Col.14+Col.17 to 23)
",Kidnapping and Abduction (Sec.363 IPC),,,Kidnapping and Abduction for the Purpose of Begging (Sec. 363A IPC),Kidnapping and Abduction in order to Murder (Sec. 364 IPC),Kidnapping for Ransom (Sec.364A IPC),Kidnapping and Abduction of Minor Girls to compel her for marriage (Sec.366 IPC),Procuration of Minor Girls (Sec.366 A IPC),Importation of Girls from Foreign Country (Sec.36-B IPC),Other Kidnapping & Abduction,,"Selling of Minors for Prostitution (Total) (Col.26+Col.27)
",Boys,Girls,"Buying of Minors for Prostitution (Total) (Col.29+Col.30)
",Boys,Girls,,,,,,,"Protection of Children from Sexual Offences Act (Total) (Col.38+41+44+47+50+53)
",Section 4 & 6 of POCSO Act or POCSO Act  (Section 4 & 6) r/w Section 376 IPC,,,Section 8 & 10 of POCSO Act or POCSO Act (Section 8 & 10)  r/w Section 354 IPC,,,Section 12 of POCSO Act or POCSO Act (Section 12) r/w Section 509 IPC,,,Section 14 & 15 of POCSO Act,,,POCSO Act  r/w Section 377 IPC,,,Sections 17 to 22 of POCSO Act,,,"Juveniles Justice (Care and Protection of Children) Act (Total) (Col.57+Col.58)
",A) Offences by Care Takers/ In-charge of Juvenile Homes,B) Other Offences,"Immoral Traffic (Prevention) Act (Total) (Col.60+Col.61+Col.62)
","A) Procuring, inducing Children for the sake of prostitution (Sec. 5)",B) Detaining a person in premises where prostitution is carried on (Sec. 6),C) Others,,,,"Cyber Crimes/ Information Technology Act (Col.67+Col.68)
",A) Publishing or Transmitting of material depicting children in sexually explicit act,B) Other Cyber Crimes against Children,,,
,,"Murder (Sec.302 IPC) (Col.4+Col.5)
",Murder with Rape/POCSO,Other Murder,,,,,,,,,Kidnapping and Abduction (Sec. 363 IPC) (Col.15+Col.16),A) Missing Children Deemed as Kidnapped,B) Other Kidnapping & Abduction,,,,,,,,,,,,,,,,,,,,,,Section 4 & 6 of POCSO Act or POCSO Act  (Section 4 & 6) r/w Section 376 IPC (Total)  (Col.39+Col.40),A) Girls,B) Boys,"Section 8 & 10 of POCSO Act or POCSO Act (Section 8 & 10)  r/w Section 354 IPC (Total)(Col.42+Col.43)
",A) Girls,B) Boys,"Section 12 of POCSO Act or POCSO Act (Section 12) r/w Section 509 IPC (Total) (Col.45+Col.46)
",A) Girls,B) Boys,"Section 14 & 15 of POCSO Act (Total) (Col.48+Col.49)
",A) Girls,B) Boys,"POCSO Act  r/w Section 377 IPC (Total) (Col.51+ Col.52)
",A) Girls,B) Boys,"Sections 17 to 22 of POCSO Act (Col.54+Col.55)
",A) Girls,B) Boys,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
State: Andhra Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Anantapur,6,1,5,2,1,0,1,1,12,0,35,4,4,0,0,0,0,8,23,0,0,0,0,0,0,0,0,0,42,11,31,0,97,239,33,30,30,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,46,285
2,Chittoor,3,0,3,2,0,0,0,0,1,0,6,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,19,6,36,0,21,94,6,1,1,0,3,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,0,0,0,0,24,118
3,Cuddapah,2,0,2,0,0,0,0,0,4,0,23,13,13,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,16,1,9,0,2,57,14,7,6,1,6,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,71
4,East Godavari,1,0,1,1,0,0,0,0,1,0,29,16,2,14,0,0,0,10,2,0,1,0,0,0,0,0,0,0,54,4,38,1,8,137,62,43,43,0,4,4,0,8,8,0,0,0,0,0,0,0,7,7,0,1,1,0,0,0,0,0,0,0,0,2,2,0,0,65,202
5,Guntakal Railway,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
6,Guntur,4,0,4,2,1,0,0,1,6,0,63,49,11,38,0,0,0,8,5,0,1,0,0,0,0,0,0,0,59,2,46,2,7,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,5,198
